tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
headtohead,fast_sigmoid,5,1,1,0.183691,0.090228,0.972100,0.063124,10.204
headtohead,fast_sigmoid,5,1,2,0.071011,0.072273,0.977100,0.065755,10.713
headtohead,fast_sigmoid,5,1,3,0.043517,0.073105,0.977300,0.066445,10.189
headtohead,fast_sigmoid,5,1,4,0.031620,0.069706,0.980500,0.067819,10.155
headtohead,fast_sigmoid,5,1,5,0.024732,0.073100,0.979200,0.064277,11.386
headtohead,fast_sigmoid,5,1,6,0.023077,0.093751,0.972800,0.063529,11.203
headtohead,fast_sigmoid,5,1,7,0.020398,0.069557,0.982200,0.065526,10.621
headtohead,fast_sigmoid,5,1,8,0.015533,0.098706,0.976600,0.068639,10.195
headtohead,fast_sigmoid,5,2,1,0.184725,0.086687,0.972300,0.063498,10.443
headtohead,fast_sigmoid,5,2,2,0.071724,0.093455,0.971700,0.061159,10.042
headtohead,fast_sigmoid,5,2,3,0.045929,0.061137,0.979800,0.062805,10.362
headtohead,fast_sigmoid,5,2,4,0.030858,0.082289,0.974800,0.063684,10.159
headtohead,fast_sigmoid,5,2,5,0.023738,0.090722,0.975700,0.065738,10.157
headtohead,fast_sigmoid,5,2,6,0.023015,0.087873,0.978000,0.063722,10.804
headtohead,fast_sigmoid,5,2,7,0.021770,0.071214,0.981400,0.063601,11.012
headtohead,fast_sigmoid,5,2,8,0.018156,0.080724,0.981800,0.064003,10.848
headtohead,fast_sigmoid,5,3,1,0.188981,0.091875,0.970300,0.059577,11.475
headtohead,fast_sigmoid,5,3,2,0.069774,0.068855,0.979200,0.058260,11.519
headtohead,fast_sigmoid,5,3,3,0.043335,0.086620,0.974300,0.061876,10.764
headtohead,fast_sigmoid,5,3,4,0.032553,0.074304,0.978100,0.063910,10.121
headtohead,fast_sigmoid,5,3,5,0.025336,0.065867,0.980600,0.061266,10.121
headtohead,fast_sigmoid,5,3,6,0.020573,0.073919,0.980500,0.062867,10.292
headtohead,fast_sigmoid,5,3,7,0.015904,0.079107,0.979900,0.064796,10.070
headtohead,fast_sigmoid,5,3,8,0.016041,0.078115,0.981400,0.064544,10.114
headtohead,atan,2,1,1,0.194732,0.096445,0.970500,0.051849,10.354
headtohead,atan,2,1,2,0.075569,0.078029,0.976600,0.054454,10.563
headtohead,atan,2,1,3,0.047722,0.071514,0.979200,0.057415,10.588
headtohead,atan,2,1,4,0.035065,0.063925,0.980900,0.054870,10.321
headtohead,atan,2,1,5,0.023603,0.075693,0.979200,0.055723,10.020
headtohead,atan,2,1,6,0.020066,0.083554,0.976000,0.055330,10.149
headtohead,atan,2,1,7,0.017121,0.089586,0.977100,0.054410,10.129
headtohead,atan,2,1,8,0.016867,0.081378,0.980600,0.056445,10.144
headtohead,atan,2,2,1,0.198175,0.090980,0.970100,0.052482,10.063
headtohead,atan,2,2,2,0.076422,0.090863,0.971900,0.053922,10.197
headtohead,atan,2,2,3,0.049030,0.065334,0.981200,0.054430,11.113
headtohead,atan,2,2,4,0.031563,0.078900,0.976600,0.056945,10.147
headtohead,atan,2,2,5,0.025204,0.079683,0.980600,0.057391,10.688
headtohead,atan,2,2,6,0.021236,0.109920,0.972400,0.056394,10.500
headtohead,atan,2,2,7,0.017694,0.076646,0.981800,0.054812,10.597
headtohead,atan,2,2,8,0.015256,0.088763,0.980700,0.057862,10.909
headtohead,atan,2,3,1,0.201026,0.096598,0.969600,0.051961,10.563
headtohead,atan,2,3,2,0.074488,0.077421,0.976900,0.048630,10.457
headtohead,atan,2,3,3,0.044927,0.077350,0.977900,0.052475,10.586
headtohead,atan,2,3,4,0.033618,0.085834,0.976500,0.053807,10.774
headtohead,atan,2,3,5,0.025138,0.071094,0.979300,0.050278,10.798
headtohead,atan,2,3,6,0.018398,0.081340,0.978400,0.054596,10.214
headtohead,atan,2,3,7,0.017377,0.080606,0.978400,0.051977,10.270
headtohead,atan,2,3,8,0.014730,0.080838,0.980700,0.049923,10.009
headtohead,sigmoid,2,1,1,0.195534,0.097512,0.969600,0.054015,10.884
headtohead,sigmoid,2,1,2,0.076349,0.078836,0.975600,0.058697,10.663
headtohead,sigmoid,2,1,3,0.047767,0.078128,0.977400,0.063014,11.091
headtohead,sigmoid,2,1,4,0.034537,0.069963,0.979800,0.059836,10.802
headtohead,sigmoid,2,1,5,0.025175,0.074541,0.979100,0.059032,10.600
headtohead,sigmoid,2,1,6,0.018038,0.093018,0.976200,0.062510,10.428
headtohead,sigmoid,2,1,7,0.019732,0.085700,0.979500,0.061585,10.245
headtohead,sigmoid,2,1,8,0.020305,0.107742,0.976700,0.063027,10.246
headtohead,sigmoid,2,2,1,0.197006,0.090257,0.970400,0.055255,10.403
headtohead,sigmoid,2,2,2,0.075811,0.092947,0.971000,0.058577,10.292
headtohead,sigmoid,2,2,3,0.049404,0.070890,0.978400,0.057510,10.162
headtohead,sigmoid,2,2,4,0.032810,0.081729,0.977400,0.061770,10.294
headtohead,sigmoid,2,2,5,0.026619,0.073877,0.981800,0.057831,10.304
headtohead,sigmoid,2,2,6,0.023123,0.087129,0.979100,0.062007,10.186
headtohead,sigmoid,2,2,7,0.020046,0.079256,0.981100,0.057046,10.274
headtohead,sigmoid,2,2,8,0.016749,0.082637,0.980900,0.061248,10.284
headtohead,sigmoid,2,3,1,0.199676,0.095845,0.969700,0.054923,10.192
headtohead,sigmoid,2,3,2,0.073426,0.077393,0.976400,0.053081,10.191
headtohead,sigmoid,2,3,3,0.044971,0.084427,0.975800,0.057226,10.320
headtohead,sigmoid,2,3,4,0.035163,0.081199,0.977300,0.057200,10.172
headtohead,sigmoid,2,3,5,0.023285,0.084428,0.977800,0.056338,10.346
headtohead,sigmoid,2,3,6,0.021270,0.105935,0.972900,0.058973,10.198
headtohead,sigmoid,2,3,7,0.019557,0.092948,0.977600,0.058664,10.302
headtohead,sigmoid,2,3,8,0.020278,0.093847,0.978800,0.056184,10.475
headtohead,triangle,1,1,1,0.184891,0.090934,0.972600,0.066325,9.672
headtohead,triangle,1,1,2,0.073721,0.070861,0.977800,0.068122,9.645
headtohead,triangle,1,1,3,0.047293,0.070501,0.978200,0.069586,9.902
headtohead,triangle,1,1,4,0.034840,0.077789,0.978400,0.067533,9.768
headtohead,triangle,1,1,5,0.026031,0.071612,0.978900,0.065912,9.803
headtohead,triangle,1,1,6,0.022908,0.077863,0.977700,0.066740,9.975
headtohead,triangle,1,1,7,0.020723,0.082514,0.980000,0.066371,9.874
headtohead,triangle,1,1,8,0.018477,0.090871,0.976800,0.068041,9.958
headtohead,triangle,1,2,1,0.187069,0.090354,0.972100,0.067120,10.147
headtohead,triangle,1,2,2,0.074356,0.089061,0.974000,0.066607,9.630
headtohead,triangle,1,2,3,0.050249,0.068301,0.978900,0.063237,9.796
headtohead,triangle,1,2,4,0.030847,0.066748,0.978800,0.066966,9.834
headtohead,triangle,1,2,5,0.027688,0.075304,0.980900,0.069877,9.813
headtohead,triangle,1,2,6,0.023153,0.083385,0.977700,0.073364,9.944
headtohead,triangle,1,2,7,0.020304,0.095582,0.977100,0.069473,9.914
headtohead,triangle,1,2,8,0.021104,0.090818,0.978500,0.067427,10.192
headtohead,triangle,1,3,1,0.189893,0.094416,0.969000,0.064627,9.834
headtohead,triangle,1,3,2,0.072225,0.074643,0.977000,0.060920,9.689
headtohead,triangle,1,3,3,0.045251,0.083385,0.975900,0.062014,9.778
headtohead,triangle,1,3,4,0.033526,0.083836,0.975600,0.065079,9.931
headtohead,triangle,1,3,5,0.026602,0.065911,0.980900,0.062161,9.858
headtohead,triangle,1,3,6,0.021588,0.118945,0.969700,0.066980,9.873
headtohead,triangle,1,3,7,0.017756,0.082985,0.978800,0.066528,9.948
headtohead,triangle,1,3,8,0.020051,0.092716,0.976800,0.068748,9.857
headtohead,gaussian,1,1,1,0.200335,0.099000,0.968700,0.052483,10.042
headtohead,gaussian,1,1,2,0.078596,0.081637,0.975800,0.058814,10.470
headtohead,gaussian,1,1,3,0.049516,0.073250,0.978600,0.060766,10.523
headtohead,gaussian,1,1,4,0.036815,0.067589,0.980500,0.060851,10.366
headtohead,gaussian,1,1,5,0.025655,0.071530,0.979500,0.057490,10.341
headtohead,gaussian,1,1,6,0.022899,0.096247,0.974600,0.057562,10.529
headtohead,gaussian,1,1,7,0.020175,0.097650,0.977600,0.060355,11.048
headtohead,gaussian,1,1,8,0.018087,0.108337,0.976800,0.062286,12.245
headtohead,gaussian,1,2,1,0.202413,0.093728,0.970300,0.053815,10.988
headtohead,gaussian,1,2,2,0.078114,0.100026,0.969200,0.057743,10.934
headtohead,gaussian,1,2,3,0.050079,0.069855,0.979100,0.058751,10.449
headtohead,gaussian,1,2,4,0.033673,0.068213,0.980300,0.059409,10.704
headtohead,gaussian,1,2,5,0.027877,0.080516,0.978900,0.059914,10.945
headtohead,gaussian,1,2,6,0.020767,0.087699,0.978300,0.061233,11.670
headtohead,gaussian,1,2,7,0.017371,0.080669,0.979800,0.061151,11.322
headtohead,gaussian,1,2,8,0.018025,0.093292,0.978800,0.060809,12.399
headtohead,gaussian,1,3,1,0.204589,0.097518,0.968600,0.053417,12.724
headtohead,gaussian,1,3,2,0.075867,0.078394,0.976700,0.051783,12.971
headtohead,gaussian,1,3,3,0.046169,0.089189,0.972800,0.056587,12.681
