tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds,train_eval_loss,train_eval_acc
snn_d1,atan,2,1,1,0.369664,0.452298,0.864600,0.124862,0.471,0.177619,0.948100
snn_d1,atan,2,1,2,0.158201,0.418013,0.876100,0.133794,0.433,0.103498,0.970800
snn_d1,atan,2,1,3,0.098392,0.372583,0.893200,0.140148,0.427,0.064612,0.980500
snn_d1,atan,2,1,4,0.064001,0.386759,0.892200,0.143145,0.422,0.050465,0.984800
snn_d1,atan,2,1,5,0.046076,0.381357,0.902800,0.147785,0.426,0.034602,0.989700
snn_d1,atan,2,1,6,0.030380,0.421753,0.896200,0.147260,0.420,0.028231,0.992500
snn_d1,atan,2,1,7,0.023373,0.450239,0.895400,0.152590,0.425,0.025939,0.992500
snn_d1,atan,2,1,8,0.021159,0.531726,0.884200,0.152989,0.419,0.026766,0.991400
snn_d1,atan,2,1,9,0.016777,0.480227,0.897500,0.154891,0.422,0.018085,0.994900
snn_d1,atan,2,1,10,0.030802,0.517472,0.892600,0.152118,0.415,0.021265,0.992900
snn_d1,atan,2,1,11,0.016217,0.483663,0.898800,0.153173,0.418,0.009357,0.997100
snn_d1,atan,2,1,12,0.012246,0.552073,0.889800,0.155706,0.408,0.009812,0.997100
snn_d1,atan,2,1,13,0.010058,0.515393,0.897700,0.157684,0.421,0.008568,0.997700
snn_d1,atan,2,1,14,0.018128,0.563715,0.895500,0.151983,0.415,0.012826,0.996200
snn_d1,atan,2,1,15,0.013064,0.555834,0.895400,0.155510,0.415,0.012288,0.995900
snn_d1,atan,2,2,1,0.360964,0.466060,0.861500,0.130324,0.427,0.173956,0.945100
snn_d1,atan,2,2,2,0.152907,0.403996,0.880600,0.135024,0.432,0.102914,0.969200
snn_d1,atan,2,2,3,0.096540,0.356122,0.899700,0.140611,0.430,0.066062,0.981400
snn_d1,atan,2,2,4,0.063753,0.361692,0.904300,0.146115,0.433,0.045644,0.988900
snn_d1,atan,2,2,5,0.045116,0.377323,0.905300,0.146814,0.430,0.030557,0.992000
snn_d1,atan,2,2,6,0.031228,0.397643,0.904100,0.149835,0.431,0.021697,0.995000
snn_d1,atan,2,2,7,0.023405,0.424955,0.899900,0.150481,0.431,0.018578,0.995200
snn_d1,atan,2,2,8,0.019653,0.455694,0.899900,0.156598,0.432,0.015480,0.996400
snn_d1,atan,2,2,9,0.015717,0.499230,0.892100,0.151029,0.429,0.020453,0.993600
snn_d1,atan,2,2,10,0.020562,0.474044,0.899200,0.145332,0.433,0.015952,0.995500
snn_d1,atan,2,2,11,0.018790,0.525375,0.899200,0.158362,0.428,0.018863,0.994000
snn_d1,atan,2,2,12,0.015913,0.550811,0.894500,0.160256,0.428,0.022340,0.993800
snn_d1,atan,2,2,13,0.015904,0.536227,0.899200,0.157363,0.423,0.021736,0.992500
snn_d1,atan,2,2,14,0.014159,0.589490,0.895200,0.160716,0.423,0.013230,0.995900
snn_d1,atan,2,2,15,0.015572,0.550825,0.904600,0.158258,0.423,0.011930,0.996100
