tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds,train_eval_loss,train_eval_acc
sweep_d1_lr5e-4,atan,0.5,1,1,0.561309,0.711460,0.773500,0.100664,0.508,nan,nan
sweep_d1_lr5e-4,atan,0.5,1,2,0.302407,0.582504,0.818900,0.097681,0.437,nan,nan
sweep_d1_lr5e-4,atan,0.5,1,3,0.221742,0.494224,0.848700,0.101811,0.443,nan,nan
sweep_d1_lr5e-4,atan,0.5,1,4,0.171436,0.467905,0.858900,0.106515,0.420,nan,nan
sweep_d1_lr5e-4,atan,0.5,2,1,0.545227,0.683069,0.784300,0.097660,0.430,nan,nan
sweep_d1_lr5e-4,atan,0.5,2,2,0.299403,0.556534,0.826200,0.099057,0.437,nan,nan
sweep_d1_lr5e-4,atan,0.5,2,3,0.216712,0.480295,0.854100,0.104649,0.427,nan,nan
sweep_d1_lr5e-4,atan,0.5,2,4,0.166138,0.440848,0.870800,0.102755,0.423,nan,nan
sweep_d1_lr5e-4,atan,1,1,1,0.493962,0.613230,0.809500,0.116851,0.487,nan,nan
sweep_d1_lr5e-4,atan,1,1,2,0.237152,0.496572,0.846400,0.119555,0.437,nan,nan
sweep_d1_lr5e-4,atan,1,1,3,0.162147,0.422078,0.874200,0.128488,0.430,nan,nan
sweep_d1_lr5e-4,atan,1,1,4,0.119293,0.405837,0.879100,0.132134,0.432,nan,nan
sweep_d1_lr5e-4,atan,1,2,1,0.480430,0.592998,0.813300,0.114347,0.427,nan,nan
sweep_d1_lr5e-4,atan,1,2,2,0.233613,0.474932,0.855900,0.118862,0.440,nan,nan
sweep_d1_lr5e-4,atan,1,2,3,0.160665,0.411757,0.876600,0.128326,0.434,nan,nan
sweep_d1_lr5e-4,atan,1,2,4,0.118460,0.376725,0.892100,0.128428,0.438,nan,nan
sweep_d1_lr5e-4,atan,2,1,1,0.442017,0.545760,0.831900,0.140116,0.491,nan,nan
sweep_d1_lr5e-4,atan,2,1,2,0.200417,0.454364,0.860600,0.149071,0.428,nan,nan
sweep_d1_lr5e-4,atan,2,1,3,0.132181,0.388916,0.884900,0.158042,0.449,nan,nan
sweep_d1_lr5e-4,atan,2,1,4,0.093769,0.374324,0.890700,0.162364,0.447,nan,nan
sweep_d1_lr5e-4,atan,2,2,1,0.431528,0.533225,0.835700,0.141866,0.447,nan,nan
sweep_d1_lr5e-4,atan,2,2,2,0.195609,0.438810,0.866600,0.152610,0.443,nan,nan
sweep_d1_lr5e-4,atan,2,2,3,0.130845,0.371310,0.888600,0.160254,0.447,nan,nan
sweep_d1_lr5e-4,atan,2,2,4,0.093425,0.367320,0.896000,0.166594,0.446,nan,nan
sweep_d1_lr1e-3,atan,0.5,1,1,0.471531,0.600784,0.813400,0.095143,0.502,nan,nan
sweep_d1_lr1e-3,atan,0.5,1,2,0.233870,0.501133,0.849700,0.097031,0.460,nan,nan
sweep_d1_lr1e-3,atan,0.5,1,3,0.159759,0.432603,0.875400,0.105494,0.449,nan,nan
sweep_d1_lr1e-3,atan,0.5,1,4,0.116716,0.451662,0.874600,0.108963,0.458,nan,nan
sweep_d1_lr1e-3,atan,0.5,2,1,0.461047,0.587655,0.817900,0.092007,0.433,nan,nan
sweep_d1_lr1e-3,atan,0.5,2,2,0.228435,0.475998,0.857900,0.099158,0.428,nan,nan
sweep_d1_lr1e-3,atan,0.5,2,3,0.156299,0.431933,0.877000,0.106748,0.428,nan,nan
sweep_d1_lr1e-3,atan,0.5,2,4,0.115195,0.410341,0.885600,0.105023,0.435,nan,nan
sweep_d1_lr1e-3,atan,1,1,1,0.410127,0.505351,0.846100,0.107313,0.492,nan,nan
sweep_d1_lr1e-3,atan,1,1,2,0.182295,0.448467,0.865900,0.112685,0.436,nan,nan
sweep_d1_lr1e-3,atan,1,1,3,0.117840,0.386381,0.886500,0.123915,0.428,nan,nan
sweep_d1_lr1e-3,atan,1,1,4,0.081789,0.393636,0.892300,0.125491,0.428,nan,nan
sweep_d1_lr1e-3,atan,1,2,1,0.400328,0.514163,0.844400,0.107022,0.428,nan,nan
sweep_d1_lr1e-3,atan,1,2,2,0.177345,0.430828,0.875400,0.113625,0.430,nan,nan
sweep_d1_lr1e-3,atan,1,2,3,0.117346,0.391340,0.887500,0.122773,0.427,nan,nan
sweep_d1_lr1e-3,atan,1,2,4,0.081218,0.374995,0.901100,0.124742,0.415,nan,nan
sweep_d1_lr1e-3,atan,2,1,1,0.369664,0.452298,0.864600,0.124862,0.482,nan,nan
sweep_d1_lr1e-3,atan,2,1,2,0.158201,0.418013,0.876100,0.133794,0.435,nan,nan
sweep_d1_lr1e-3,atan,2,1,3,0.098392,0.372583,0.893200,0.140148,0.433,nan,nan
sweep_d1_lr1e-3,atan,2,1,4,0.064001,0.386759,0.892200,0.143145,0.436,nan,nan
sweep_d1_lr1e-3,atan,2,2,1,0.360964,0.466060,0.861500,0.130324,0.422,nan,nan
sweep_d1_lr1e-3,atan,2,2,2,0.152907,0.403996,0.880600,0.135024,0.441,nan,nan
sweep_d1_lr1e-3,atan,2,2,3,0.096540,0.356122,0.899700,0.140611,0.432,nan,nan
sweep_d1_lr1e-3,atan,2,2,4,0.063753,0.361692,0.904300,0.146115,0.429,nan,nan
sweep_d1_lr2e-3,atan,0.5,1,1,0.407562,0.529263,0.842800,0.094813,0.483,nan,nan
sweep_d1_lr2e-3,atan,0.5,1,2,0.194274,0.490345,0.857700,0.100968,0.425,nan,nan
sweep_d1_lr2e-3,atan,0.5,1,3,0.130642,0.467502,0.873000,0.104711,0.431,nan,nan
sweep_d1_lr2e-3,atan,0.5,1,4,0.097378,0.441454,0.885000,0.105651,0.430,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,1,0.408474,0.535733,0.842100,0.091296,0.418,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,2,0.191691,0.431540,0.875600,0.097881,0.437,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,3,0.131501,0.450169,0.875100,0.102933,0.435,nan,nan
sweep_d1_lr2e-3,atan,0.5,2,4,0.098031,0.437290,0.889600,0.104013,0.437,nan,nan
sweep_d1_lr2e-3,atan,1,1,1,0.360779,0.463916,0.862000,0.097910,0.481,nan,nan
sweep_d1_lr2e-3,atan,1,1,2,0.162437,0.444585,0.873100,0.102248,0.441,nan,nan
sweep_d1_lr2e-3,atan,1,1,3,0.108080,0.418807,0.890700,0.112875,0.450,nan,nan
sweep_d1_lr2e-3,atan,1,1,4,0.077992,0.467946,0.881800,0.110940,0.440,nan,nan
sweep_d1_lr2e-3,atan,1,2,1,0.360468,0.481424,0.860600,0.100965,0.435,nan,nan
