tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
attached_atan,atan,1,1,1,0.360788,0.464060,0.861600,0.097915,2.194
attached_atan,atan,1,1,2,0.162395,0.444096,0.872200,0.102116,2.241
attached_atan,atan,1,1,3,0.107848,0.419270,0.888700,0.111843,2.069
attached_atan,atan,1,1,4,0.077059,0.430649,0.888000,0.110453,2.111
attached_atan,atan,1,2,1,0.360467,0.481266,0.860700,0.100919,2.249
attached_atan,atan,1,2,2,0.160106,0.419516,0.878100,0.106315,2.030
attached_atan,atan,1,2,3,0.108272,0.408020,0.888600,0.108946,2.251
attached_atan,atan,1,2,4,0.081872,0.418576,0.896200,0.106526,1.987
attached_atan,atan,1,3,1,0.358563,0.461161,0.860800,0.103998,1.978
attached_atan,atan,1,3,2,0.162454,0.421226,0.879200,0.104912,1.938
attached_atan,atan,1,3,3,0.114542,0.450074,0.879800,0.113463,2.059
attached_atan,atan,1,3,4,0.077301,0.432153,0.891100,0.112173,1.950
detached_atan,atan,1,1,1,0.336688,0.456149,0.866100,0.110830,2.079
detached_atan,atan,1,1,2,0.153869,0.454941,0.872100,0.111930,1.973
detached_atan,atan,1,1,3,0.106678,0.460651,0.874700,0.117786,2.204
detached_atan,atan,1,1,4,0.080349,0.430541,0.891600,0.117712,2.011
detached_atan,atan,1,2,1,0.327096,0.459364,0.867000,0.115605,2.096
detached_atan,atan,1,2,2,0.149946,0.441696,0.873200,0.114805,1.972
detached_atan,atan,1,2,3,0.106100,0.428823,0.882200,0.115455,2.045
detached_atan,atan,1,2,4,0.079907,0.423289,0.889800,0.116980,2.060
detached_atan,atan,1,3,1,0.328349,0.446623,0.865100,0.123303,2.049
detached_atan,atan,1,3,2,0.155641,0.404061,0.881800,0.119952,2.210
detached_atan,atan,1,3,3,0.109476,0.431600,0.882600,0.123252,2.204
detached_atan,atan,1,3,4,0.083087,0.439917,0.884400,0.123179,2.148
attached_fast_sigmoid,fast_sigmoid,1,1,1,0.351110,0.460777,0.861700,0.097412,2.181
attached_fast_sigmoid,fast_sigmoid,1,1,2,0.159776,0.427937,0.877800,0.099449,2.208
attached_fast_sigmoid,fast_sigmoid,1,1,3,0.108531,0.427485,0.885900,0.110268,1.966
attached_fast_sigmoid,fast_sigmoid,1,1,4,0.077705,0.445213,0.887500,0.105981,1.805
attached_fast_sigmoid,fast_sigmoid,1,2,1,0.346622,0.463626,0.864400,0.097932,1.910
attached_fast_sigmoid,fast_sigmoid,1,2,2,0.154175,0.424974,0.879900,0.104388,2.182
attached_fast_sigmoid,fast_sigmoid,1,2,3,0.103662,0.399660,0.890000,0.109199,2.036
attached_fast_sigmoid,fast_sigmoid,1,2,4,0.075304,0.428552,0.890800,0.110869,2.006
attached_fast_sigmoid,fast_sigmoid,1,3,1,0.347411,0.456028,0.866700,0.102353,1.783
attached_fast_sigmoid,fast_sigmoid,1,3,2,0.155481,0.436491,0.871300,0.102934,1.875
attached_fast_sigmoid,fast_sigmoid,1,3,3,0.108982,0.421103,0.888200,0.113416,1.839
attached_fast_sigmoid,fast_sigmoid,1,3,4,0.078057,0.457649,0.885800,0.110951,2.060
detached_fast_sigmoid,fast_sigmoid,1,1,1,0.336271,0.483544,0.855500,0.107670,1.974
detached_fast_sigmoid,fast_sigmoid,1,1,2,0.155568,0.449140,0.870600,0.111279,1.824
detached_fast_sigmoid,fast_sigmoid,1,1,3,0.109614,0.465215,0.873100,0.125179,2.001
detached_fast_sigmoid,fast_sigmoid,1,1,4,0.084866,0.450491,0.887900,0.120908,2.255
detached_fast_sigmoid,fast_sigmoid,1,2,1,0.324592,0.449914,0.866300,0.112712,2.282
detached_fast_sigmoid,fast_sigmoid,1,2,2,0.149435,0.441061,0.878000,0.113550,1.891
detached_fast_sigmoid,fast_sigmoid,1,2,3,0.108551,0.426165,0.884500,0.117124,1.847
detached_fast_sigmoid,fast_sigmoid,1,2,4,0.081404,0.424616,0.891900,0.118778,2.062
detached_fast_sigmoid,fast_sigmoid,1,3,1,0.325808,0.429063,0.871600,0.123581,1.828
detached_fast_sigmoid,fast_sigmoid,1,3,2,0.153659,0.419259,0.878500,0.120543,1.928
detached_fast_sigmoid,fast_sigmoid,1,3,3,0.109040,0.451359,0.876600,0.123570,1.968
detached_fast_sigmoid,fast_sigmoid,1,3,4,0.084061,0.442770,0.882700,0.121808,2.059
