tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
headtohead,fast_sigmoid,1,1,1,0.340411,0.409732,0.878900,0.040450,10.328
headtohead,fast_sigmoid,1,1,2,0.131884,0.379928,0.891700,0.041476,10.082
headtohead,fast_sigmoid,1,1,3,0.075064,0.375678,0.896900,0.043372,10.209
headtohead,fast_sigmoid,1,1,4,0.043140,0.367739,0.910000,0.044961,10.317
headtohead,fast_sigmoid,1,1,5,0.028053,0.400471,0.909600,0.046820,10.248
headtohead,fast_sigmoid,1,1,6,0.025202,0.432083,0.905500,0.047323,10.352
headtohead,fast_sigmoid,1,1,7,0.019094,0.418840,0.912900,0.044073,10.224
headtohead,fast_sigmoid,1,1,8,0.017760,0.447283,0.910400,0.045619,10.181
headtohead,fast_sigmoid,1,2,1,0.338167,0.404693,0.882400,0.038237,10.416
headtohead,fast_sigmoid,1,2,2,0.129522,0.365983,0.893400,0.040357,10.358
headtohead,fast_sigmoid,1,2,3,0.073550,0.358650,0.905200,0.043292,10.209
headtohead,fast_sigmoid,1,2,4,0.044894,0.363150,0.913400,0.042951,10.277
headtohead,fast_sigmoid,1,2,5,0.031648,0.418165,0.905200,0.043758,10.209
headtohead,fast_sigmoid,1,2,6,0.019903,0.416128,0.909300,0.044768,10.497
headtohead,fast_sigmoid,1,2,7,0.020004,0.453841,0.907600,0.045661,10.171
headtohead,fast_sigmoid,1,2,8,0.023525,0.495534,0.906400,0.044903,10.286
headtohead,fast_sigmoid,1,3,1,0.339269,0.402660,0.879900,0.042513,10.513
headtohead,fast_sigmoid,1,3,2,0.131967,0.359329,0.895500,0.039867,10.242
headtohead,fast_sigmoid,1,3,3,0.074773,0.386488,0.894500,0.042937,10.322
headtohead,fast_sigmoid,1,3,4,0.045286,0.384320,0.903600,0.044346,10.294
headtohead,fast_sigmoid,1,3,5,0.030118,0.430925,0.904700,0.046054,10.301
headtohead,fast_sigmoid,1,3,6,0.025409,0.413863,0.907000,0.046804,10.332
headtohead,fast_sigmoid,1,3,7,0.019088,0.418424,0.911700,0.047698,10.399
headtohead,fast_sigmoid,1,3,8,0.016394,0.480758,0.908500,0.047233,10.254
headtohead,fast_sigmoid,1,4,1,0.336639,0.442972,0.867400,0.040873,10.230
headtohead,fast_sigmoid,1,4,2,0.130440,0.375275,0.898700,0.042153,10.390
headtohead,fast_sigmoid,1,4,3,0.071100,0.375251,0.900600,0.043930,10.230
headtohead,fast_sigmoid,1,4,4,0.044188,0.399136,0.904200,0.045351,10.527
headtohead,fast_sigmoid,1,4,5,0.027695,0.446923,0.896900,0.046807,10.107
headtohead,fast_sigmoid,1,4,6,0.024643,0.406549,0.912000,0.044478,10.385
headtohead,fast_sigmoid,1,4,7,0.022777,0.441921,0.909700,0.045034,10.154
headtohead,fast_sigmoid,1,4,8,0.020657,0.488951,0.904500,0.044830,10.575
headtohead,fast_sigmoid,1,5,1,0.337151,0.441740,0.869800,0.040894,10.375
headtohead,fast_sigmoid,1,5,2,0.131237,0.374875,0.893600,0.040423,10.489
headtohead,fast_sigmoid,1,5,3,0.074998,0.353561,0.905500,0.044146,10.335
headtohead,fast_sigmoid,1,5,4,0.045207,0.377979,0.905200,0.045301,10.388
headtohead,fast_sigmoid,1,5,5,0.029030,0.420463,0.907600,0.048211,10.497
headtohead,fast_sigmoid,1,5,6,0.025757,0.416290,0.910900,0.046548,10.211
headtohead,fast_sigmoid,1,5,7,0.024801,0.413906,0.914200,0.045845,10.395
headtohead,fast_sigmoid,1,5,8,0.022230,0.489403,0.905500,0.047614,10.342
headtohead,fast_sigmoid,1,6,1,0.336117,0.444405,0.869400,0.038449,10.594
headtohead,fast_sigmoid,1,6,2,0.131219,0.370622,0.894300,0.039845,10.368
headtohead,fast_sigmoid,1,6,3,0.074488,0.380354,0.900400,0.041034,10.514
headtohead,fast_sigmoid,1,6,4,0.043859,0.352422,0.911800,0.041510,10.335
headtohead,fast_sigmoid,1,6,5,0.025696,0.393164,0.912200,0.046188,10.573
headtohead,fast_sigmoid,1,6,6,0.022653,0.430935,0.906300,0.043051,10.398
headtohead,fast_sigmoid,1,6,7,0.025268,0.419504,0.911600,0.043650,10.288
headtohead,fast_sigmoid,1,6,8,0.021771,0.450399,0.911000,0.044901,10.303
headtohead,fast_sigmoid,1,7,1,0.334352,0.465426,0.861900,0.039740,10.526
headtohead,fast_sigmoid,1,7,2,0.133046,0.354627,0.899900,0.037784,10.449
headtohead,fast_sigmoid,1,7,3,0.075508,0.375687,0.903900,0.040098,10.553
headtohead,fast_sigmoid,1,7,4,0.044764,0.379146,0.908200,0.045203,10.236
headtohead,fast_sigmoid,1,7,5,0.028683,0.395945,0.904900,0.043199,10.498
headtohead,fast_sigmoid,1,7,6,0.022482,0.432983,0.906600,0.047079,10.215
headtohead,fast_sigmoid,1,7,7,0.019494,0.446893,0.906600,0.047025,10.499
headtohead,fast_sigmoid,1,7,8,0.021960,0.497823,0.904500,0.045941,10.481
headtohead,fast_sigmoid,1,8,1,0.348129,0.433970,0.867900,0.039239,10.405
headtohead,fast_sigmoid,1,8,2,0.131419,0.365083,0.900600,0.042636,10.478
headtohead,fast_sigmoid,1,8,3,0.072346,0.362635,0.906500,0.041129,10.492
headtohead,fast_sigmoid,1,8,4,0.043967,0.388552,0.903600,0.042749,10.497
headtohead,fast_sigmoid,1,8,5,0.030125,0.404221,0.908700,0.042964,10.406
headtohead,fast_sigmoid,1,8,6,0.021262,0.438176,0.905000,0.046651,10.294
headtohead,fast_sigmoid,1,8,7,0.023386,0.468496,0.905200,0.043657,10.507
headtohead,fast_sigmoid,1,8,8,0.018190,0.485035,0.906900,0.044971,10.430
headtohead,atan,1,1,1,0.356543,0.433614,0.873100,0.039902,10.400
headtohead,atan,1,1,2,0.141109,0.385616,0.892000,0.040502,10.147
headtohead,atan,1,1,3,0.080596,0.384827,0.893900,0.044112,10.251
headtohead,atan,1,1,4,0.048228,0.371285,0.909400,0.042261,10.593
headtohead,atan,1,1,5,0.034320,0.449328,0.899400,0.044439,10.260
headtohead,atan,1,1,6,0.025629,0.439977,0.903100,0.045582,10.217
headtohead,atan,1,1,7,0.021934,0.470550,0.904500,0.043750,10.456
headtohead,atan,1,1,8,0.022718,0.459359,0.908500,0.043365,10.222
headtohead,atan,1,2,1,0.353214,0.424395,0.876400,0.037456,10.372
headtohead,atan,1,2,2,0.138904,0.373844,0.888400,0.039084,10.161
headtohead,atan,1,2,3,0.082204,0.364121,0.905300,0.042242,10.331
headtohead,atan,1,2,4,0.050983,0.372197,0.908100,0.042520,10.314
headtohead,atan,1,2,5,0.034137,0.424436,0.908900,0.043697,10.291
headtohead,atan,1,2,6,0.019262,0.443436,0.907500,0.046023,10.284
headtohead,atan,1,2,7,0.023034,0.476182,0.907200,0.045855,10.160
headtohead,atan,1,2,8,0.022120,0.469611,0.907300,0.044304,10.178
headtohead,atan,1,3,1,0.355584,0.420821,0.873800,0.042035,10.231
headtohead,atan,1,3,2,0.142522,0.362641,0.897000,0.038581,10.314
headtohead,atan,1,3,3,0.082068,0.385371,0.895600,0.041608,10.258
headtohead,atan,1,3,4,0.049565,0.394313,0.902600,0.042901,10.395
headtohead,atan,1,3,5,0.033901,0.411802,0.908700,0.043984,10.531
headtohead,atan,1,3,6,0.025260,0.438162,0.903500,0.043601,10.305
headtohead,atan,1,3,7,0.021388,0.469125,0.905700,0.045652,10.671
headtohead,atan,1,3,8,0.015906,0.504390,0.907000,0.046894,10.264
headtohead,atan,1,4,1,0.353460,0.462572,0.862000,0.040567,10.492
headtohead,atan,1,4,2,0.139732,0.382529,0.894100,0.041217,10.264
headtohead,atan,1,4,3,0.078319,0.389400,0.895400,0.041590,10.541
headtohead,atan,1,4,4,0.051131,0.412160,0.900500,0.043688,10.303
headtohead,atan,1,4,5,0.033136,0.404390,0.908600,0.044263,10.549
headtohead,atan,1,4,6,0.019658,0.474341,0.903800,0.046720,10.356
headtohead,atan,1,4,7,0.021196,0.484133,0.903900,0.044163,10.559
headtohead,atan,1,4,8,0.023232,0.514513,0.907600,0.043980,10.322
headtohead,atan,1,5,1,0.354040,0.457214,0.865700,0.039493,10.394
headtohead,atan,1,5,2,0.141540,0.376806,0.891900,0.037942,10.381
headtohead,atan,1,5,3,0.081697,0.343176,0.909100,0.042699,10.351
headtohead,atan,1,5,4,0.051579,0.370443,0.905900,0.044149,10.406
headtohead,atan,1,5,5,0.032549,0.416395,0.903000,0.044985,10.384
headtohead,atan,1,5,6,0.023875,0.414727,0.912200,0.045097,10.432
headtohead,atan,1,5,7,0.023483,0.432326,0.913000,0.043157,10.439
headtohead,atan,1,5,8,0.023065,0.468735,0.911700,0.044593,10.303
headtohead,atan,1,6,1,0.352274,0.464409,0.862300,0.037766,10.565
headtohead,atan,1,6,2,0.140656,0.370830,0.893900,0.039320,10.420
headtohead,atan,1,6,3,0.081738,0.388816,0.896400,0.040258,10.534
headtohead,atan,1,6,4,0.048902,0.352616,0.910600,0.040418,10.315
headtohead,atan,1,6,5,0.030281,0.401429,0.907900,0.044882,10.461
headtohead,atan,1,6,6,0.021959,0.451271,0.901500,0.044086,10.585
headtohead,atan,1,6,7,0.025129,0.445752,0.908800,0.043834,10.363
headtohead,atan,1,6,8,0.024628,0.472540,0.903600,0.042912,10.572
headtohead,atan,1,7,1,0.350517,0.479568,0.858100,0.039149,10.338
headtohead,atan,1,7,2,0.143188,0.370760,0.893400,0.036927,10.345
headtohead,atan,1,7,3,0.083683,0.371712,0.901300,0.038782,10.379
headtohead,atan,1,7,4,0.050548,0.405982,0.902600,0.042392,10.345
headtohead,atan,1,7,5,0.028940,0.424882,0.900200,0.044273,10.334
headtohead,atan,1,7,6,0.025710,0.455984,0.903000,0.046553,10.368
headtohead,atan,1,7,7,0.019338,0.453797,0.908700,0.047618,10.341
headtohead,atan,1,7,8,0.027410,0.459288,0.911400,0.044262,10.267
headtohead,atan,1,8,1,0.364606,0.453958,0.859600,0.038473,10.654
headtohead,atan,1,8,2,0.141704,0.371876,0.897000,0.040529,10.322
headtohead,atan,1,8,3,0.081073,0.363442,0.906900,0.040288,10.499
headtohead,atan,1,8,4,0.049278,0.375233,0.906300,0.041274,10.314
headtohead,atan,1,8,5,0.031253,0.395022,0.910800,0.041762,10.499
headtohead,atan,1,8,6,0.024382,0.435078,0.906400,0.044511,10.365
headtohead,atan,1,8,7,0.015551,0.441395,0.912700,0.044833,10.332
headtohead,atan,1,8,8,0.020044,0.480869,0.903600,0.043546,10.775
headtohead,sigmoid,1,1,1,0.364757,0.442807,0.869800,0.041807,11.183
headtohead,sigmoid,1,1,2,0.144210,0.390088,0.888100,0.042889,11.106
headtohead,sigmoid,1,1,3,0.082597,0.384856,0.896500,0.045895,11.085
headtohead,sigmoid,1,1,4,0.051230,0.364104,0.909600,0.045727,11.091
headtohead,sigmoid,1,1,5,0.033397,0.399144,0.912900,0.048542,11.023
headtohead,sigmoid,1,1,6,0.022188,0.428234,0.909500,0.048257,11.031
headtohead,sigmoid,1,1,7,0.022800,0.449907,0.914000,0.048658,11.095
headtohead,sigmoid,1,1,8,0.022118,0.500858,0.902500,0.047429,11.052
headtohead,sigmoid,1,2,1,0.361145,0.429286,0.873900,0.039311,11.004
headtohead,sigmoid,1,2,2,0.141559,0.379891,0.890000,0.041982,11.000
headtohead,sigmoid,1,2,3,0.085683,0.359036,0.906800,0.046058,11.112
headtohead,sigmoid,1,2,4,0.051488,0.387617,0.902600,0.045507,10.905
headtohead,sigmoid,1,2,5,0.033598,0.453960,0.900400,0.048945,10.966
headtohead,sigmoid,1,2,6,0.025244,0.430841,0.909500,0.048912,10.834
headtohead,sigmoid,1,2,7,0.021447,0.496810,0.901500,0.051354,11.035
headtohead,sigmoid,1,2,8,0.023171,0.487493,0.908400,0.051652,10.923
headtohead,sigmoid,1,3,1,0.364607,0.422924,0.872800,0.043689,11.015
headtohead,sigmoid,1,3,2,0.145435,0.371105,0.893200,0.040469,10.943
headtohead,sigmoid,1,3,3,0.085136,0.398401,0.892100,0.044200,10.868
headtohead,sigmoid,1,3,4,0.052363,0.404454,0.897900,0.044973,10.849
headtohead,sigmoid,1,3,5,0.038052,0.433182,0.905200,0.046790,11.241
headtohead,sigmoid,1,3,6,0.026641,0.424421,0.907200,0.048297,11.204
headtohead,sigmoid,1,3,7,0.020981,0.475891,0.902300,0.047555,10.928
headtohead,sigmoid,1,3,8,0.017787,0.479156,0.909600,0.048135,10.934
headtohead,sigmoid,1,4,1,0.362494,0.471990,0.860800,0.042463,10.853
headtohead,sigmoid,1,4,2,0.144095,0.386546,0.892300,0.043658,10.963
