tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
sweep,fast_sigmoid,0.5,1,1,0.383009,0.501004,0.850200,0.093905,1.875
sweep,fast_sigmoid,0.5,1,2,0.177538,0.448964,0.869000,0.096453,2.129
sweep,fast_sigmoid,0.5,1,3,0.120492,0.435375,0.883400,0.104080,2.082
sweep,fast_sigmoid,0.5,1,4,0.088406,0.461111,0.881200,0.100077,2.003
sweep,fast_sigmoid,0.5,2,1,0.384918,0.502802,0.854800,0.091796,2.161
sweep,fast_sigmoid,0.5,2,2,0.176696,0.424398,0.875400,0.095929,1.869
sweep,fast_sigmoid,0.5,2,3,0.118809,0.404967,0.888200,0.101009,2.152
sweep,fast_sigmoid,0.5,2,4,0.089231,0.419023,0.894200,0.102566,1.891
sweep,fast_sigmoid,0.5,3,1,0.383427,0.488048,0.848600,0.094759,1.957
sweep,fast_sigmoid,0.5,3,2,0.178417,0.448760,0.870000,0.094780,1.947
sweep,fast_sigmoid,0.5,3,3,0.121919,0.440607,0.881800,0.097392,2.062
sweep,fast_sigmoid,0.5,3,4,0.085795,0.452568,0.884500,0.100397,1.894
sweep,fast_sigmoid,1,1,1,0.351110,0.460777,0.861700,0.097412,2.089
sweep,fast_sigmoid,1,1,2,0.159776,0.427937,0.877800,0.099449,2.162
sweep,fast_sigmoid,1,1,3,0.108531,0.427485,0.885900,0.110268,2.085
sweep,fast_sigmoid,1,1,4,0.077705,0.445213,0.887500,0.105981,1.747
sweep,fast_sigmoid,1,2,1,0.346622,0.463626,0.864400,0.097932,1.842
sweep,fast_sigmoid,1,2,2,0.154175,0.424974,0.879900,0.104388,2.165
sweep,fast_sigmoid,1,2,3,0.103662,0.399660,0.890000,0.109199,2.008
sweep,fast_sigmoid,1,2,4,0.075304,0.428552,0.890800,0.110869,1.943
sweep,fast_sigmoid,1,3,1,0.347411,0.456028,0.866700,0.102353,1.994
sweep,fast_sigmoid,1,3,2,0.155481,0.436491,0.871300,0.102934,2.087
sweep,fast_sigmoid,1,3,3,0.108982,0.421103,0.888200,0.113416,2.162
sweep,fast_sigmoid,1,3,4,0.078057,0.457649,0.885800,0.110951,2.020
sweep,fast_sigmoid,2,1,1,0.337711,0.462342,0.860500,0.102391,1.966
sweep,fast_sigmoid,2,1,2,0.155888,0.434066,0.875700,0.104799,2.029
sweep,fast_sigmoid,2,1,3,0.102895,0.437089,0.881300,0.111055,1.852
