tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
cnn_d1,cnn,1,0,63050,1,1,0.379240,0.509025,0.847500,1.672,0.201049,0.940100
cnn_d1,cnn,1,0,63050,1,2,0.192364,0.451703,0.869500,0.895,0.145172,0.956400
cnn_d1,cnn,1,0,63050,1,3,0.152867,0.423138,0.881500,0.879,0.114958,0.966200
cnn_d1,cnn,1,0,63050,1,4,0.124024,0.406537,0.890300,0.800,0.090448,0.974500
cnn_d1,cnn,1,0,63050,1,5,0.102433,0.395601,0.894700,0.925,0.071541,0.981300
cnn_d1,cnn,1,0,63050,1,6,0.086267,0.425668,0.891100,0.721,0.057140,0.985800
cnn_d1,cnn,1,0,63050,1,7,0.071704,0.418209,0.896600,0.775,0.049543,0.986500
cnn_d1,cnn,1,0,63050,1,8,0.059401,0.439758,0.893100,0.899,0.043837,0.987700
cnn_d1,cnn,1,0,63050,1,9,0.051617,0.470823,0.891400,0.784,0.036236,0.991200
cnn_d1,cnn,1,0,63050,1,10,0.041989,0.464002,0.896600,0.756,0.032150,0.991300
cnn_d1,cnn,1,0,63050,1,11,0.035904,0.497255,0.893200,0.915,0.029350,0.992000
cnn_d1,cnn,1,0,63050,1,12,0.028107,0.516028,0.896600,0.865,0.020271,0.995100
cnn_d1,cnn,1,0,63050,1,13,0.025621,0.511942,0.895000,0.730,0.019809,0.995300
cnn_d1,cnn,1,0,63050,1,14,0.021244,0.574758,0.891000,0.870,0.016128,0.996500
cnn_d1,cnn,1,0,63050,1,15,0.019018,0.572734,0.897300,0.632,0.011329,0.998200
cnn_d1,cnn,1,0,63050,2,1,0.402129,0.498459,0.851300,0.923,0.196055,0.944100
cnn_d1,cnn,1,0,63050,2,2,0.191322,0.445462,0.873100,0.746,0.139150,0.958600
cnn_d1,cnn,1,0,63050,2,3,0.146257,0.408155,0.883400,0.907,0.108523,0.969600
cnn_d1,cnn,1,0,63050,2,4,0.120223,0.400070,0.894600,0.883,0.090198,0.975900
cnn_d1,cnn,1,0,63050,2,5,0.098745,0.400264,0.894900,0.868,0.074160,0.979300
cnn_d1,cnn,1,0,63050,2,6,0.082464,0.397542,0.897400,0.817,0.057832,0.984600
cnn_d1,cnn,1,0,63050,2,7,0.068647,0.425974,0.897300,0.708,0.046265,0.987500
cnn_d1,cnn,1,0,63050,2,8,0.058338,0.445133,0.892500,0.872,0.041081,0.989000
cnn_d1,cnn,1,0,63050,2,9,0.050606,0.459310,0.890900,0.757,0.036449,0.991100
cnn_d1,cnn,1,0,63050,2,10,0.041274,0.489548,0.889800,0.631,0.031214,0.991600
cnn_d1,cnn,1,0,63050,2,11,0.033816,0.525892,0.893300,0.749,0.028215,0.991400
cnn_d1,cnn,1,0,63050,2,12,0.030393,0.569978,0.889300,0.700,0.024632,0.992500
cnn_d1,cnn,1,0,63050,2,13,0.022977,0.571199,0.886600,0.876,0.027808,0.990800
cnn_d1,cnn,1,0,63050,2,14,0.020113,0.646382,0.885500,0.956,0.022170,0.992500
cnn_d1,cnn,1,0,63050,2,15,0.017560,0.597752,0.893900,0.795,0.014617,0.996000
cnn_d1,cnn,1,0,63050,3,1,0.378964,0.504819,0.848100,0.743,0.192626,0.944500
cnn_d1,cnn,1,0,63050,3,2,0.189485,0.434565,0.868500,0.823,0.144507,0.955800
cnn_d1,cnn,1,0,63050,3,3,0.148242,0.401615,0.884400,0.895,0.116482,0.966300
cnn_d1,cnn,1,0,63050,3,4,0.120283,0.388425,0.893500,0.960,0.088555,0.976300
