tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,1,0.718550,0.823853,0.742700,1.335,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,2,0.401754,0.698028,0.786200,0.683,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,3,0.314049,0.600442,0.815000,0.527,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,1,4,0.267821,0.572216,0.825500,0.615,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,1,0.770621,0.867781,0.735500,0.785,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,2,0.436290,0.747042,0.771900,0.610,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,3,0.340620,0.638840,0.803500,0.663,nan,nan
sweep_cnn1w0_lr3e-4,cnn,1,0,63050,2,4,0.283563,0.575795,0.824900,0.869,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,1,0.499609,0.601998,0.817400,1.295,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,2,0.250824,0.527009,0.840100,0.789,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,3,0.201859,0.475234,0.855600,0.717,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,1,4,0.175949,0.464775,0.866500,0.628,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,1,0.533846,0.635414,0.806000,0.576,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,2,0.260029,0.530054,0.839900,0.800,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,3,0.203335,0.479906,0.854100,0.690,nan,nan
sweep_cnn1w0_lr1e-3,cnn,1,0,63050,2,4,0.175239,0.453949,0.867700,0.719,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,1,0.379240,0.509025,0.847500,1.582,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,2,0.192364,0.451703,0.869500,0.691,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,3,0.152867,0.423138,0.881500,0.752,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,1,4,0.124024,0.406537,0.890300,0.666,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,1,0.402129,0.498459,0.851300,0.553,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,2,0.191322,0.445462,0.873100,0.807,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,3,0.146257,0.408155,0.883400,0.605,nan,nan
sweep_cnn1w0_lr3e-3,cnn,1,0,63050,2,4,0.120223,0.400070,0.894600,0.704,nan,nan
sweep_cnn2w0_lr3e-4,cnn,2,0,50186,1,1,0.683383,0.689913,0.785400,1.783,nan,nan
