tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
lr5e-4_gaussian,gaussian,1,1,1,0.296628,0.156791,0.954900,0.145175,2.040
lr5e-4_gaussian,gaussian,1,1,2,0.129823,0.103734,0.967700,0.148351,1.958
lr5e-4_gaussian,gaussian,1,1,3,0.084966,0.085254,0.972200,0.157896,1.972
lr5e-4_gaussian,gaussian,1,2,1,0.296413,0.150075,0.955300,0.139187,1.933
lr5e-4_gaussian,gaussian,1,2,2,0.128037,0.114992,0.964800,0.142299,2.002
lr5e-4_gaussian,gaussian,1,2,3,0.085739,0.084520,0.974100,0.147770,1.986
lr1e-3_gaussian,gaussian,1,1,1,0.240823,0.117620,0.963900,0.135526,1.934
lr1e-3_gaussian,gaussian,1,1,2,0.097160,0.083499,0.973100,0.147224,1.969
lr1e-3_gaussian,gaussian,1,1,3,0.062858,0.074844,0.976000,0.155089,2.001
lr1e-3_gaussian,gaussian,1,2,1,0.236425,0.113354,0.965600,0.131548,2.046
lr1e-3_gaussian,gaussian,1,2,2,0.094669,0.102740,0.968500,0.143406,1.985
lr1e-3_gaussian,gaussian,1,2,3,0.062814,0.071273,0.977800,0.145187,2.012
lr2e-3_gaussian,gaussian,1,1,1,0.210187,0.112232,0.963200,0.128323,2.004
lr2e-3_gaussian,gaussian,1,1,2,0.089066,0.075417,0.975800,0.136827,2.070
lr2e-3_gaussian,gaussian,1,1,3,0.063038,0.079837,0.974600,0.139245,2.085
lr2e-3_gaussian,gaussian,1,2,1,0.207055,0.104178,0.967900,0.126475,2.046
lr2e-3_gaussian,gaussian,1,2,2,0.085046,0.110457,0.967600,0.134305,2.054
lr2e-3_gaussian,gaussian,1,2,3,0.062240,0.085360,0.973700,0.135208,2.043
lr4e-3_gaussian,gaussian,1,1,1,0.212567,0.127475,0.960100,0.115778,2.070
lr4e-3_gaussian,gaussian,1,1,2,0.105961,0.099116,0.969400,0.110861,2.108
lr4e-3_gaussian,gaussian,1,1,3,0.089563,0.134959,0.962600,0.112167,2.152
lr4e-3_gaussian,gaussian,1,2,1,0.211918,0.113578,0.964600,0.111600,2.089
lr4e-3_gaussian,gaussian,1,2,2,0.106639,0.132140,0.963000,0.112805,2.136
lr4e-3_gaussian,gaussian,1,2,3,0.084461,0.116868,0.963800,0.102014,2.146
lr5e-4_rectangular,rectangular,0.5,1,1,0.307388,0.165404,0.952000,0.136351,1.797
lr5e-4_rectangular,rectangular,0.5,1,2,0.138166,0.109360,0.966400,0.139002,1.802
lr5e-4_rectangular,rectangular,0.5,1,3,0.091500,0.089594,0.970800,0.147441,1.825
lr5e-4_rectangular,rectangular,0.5,2,1,0.308105,0.159759,0.952400,0.132222,1.849
lr5e-4_rectangular,rectangular,0.5,2,2,0.136480,0.120083,0.964100,0.134958,1.896
lr5e-4_rectangular,rectangular,0.5,2,3,0.092010,0.089853,0.972500,0.140502,1.972
lr1e-3_rectangular,rectangular,0.5,1,1,0.249430,0.122157,0.962200,0.129074,1.824
lr1e-3_rectangular,rectangular,0.5,1,2,0.102917,0.086435,0.972700,0.141092,1.842
lr1e-3_rectangular,rectangular,0.5,1,3,0.066421,0.076533,0.976100,0.152676,1.830
lr1e-3_rectangular,rectangular,0.5,2,1,0.245800,0.120236,0.963700,0.126764,1.907
lr1e-3_rectangular,rectangular,0.5,2,2,0.100491,0.107703,0.967600,0.137477,1.829
lr1e-3_rectangular,rectangular,0.5,2,3,0.065894,0.074412,0.976600,0.138048,1.861
lr2e-3_rectangular,rectangular,0.5,1,1,0.215877,0.113789,0.963000,0.124952,1.867
lr2e-3_rectangular,rectangular,0.5,1,2,0.093332,0.077783,0.975700,0.130051,1.887
lr2e-3_rectangular,rectangular,0.5,1,3,0.062809,0.082920,0.974200,0.136409,1.932
lr2e-3_rectangular,rectangular,0.5,2,1,0.211951,0.108800,0.967900,0.119630,1.881
lr2e-3_rectangular,rectangular,0.5,2,2,0.086022,0.102499,0.967300,0.128292,1.891
lr2e-3_rectangular,rectangular,0.5,2,3,0.063110,0.085264,0.974600,0.124601,1.848
lr4e-3_rectangular,rectangular,0.5,1,1,0.214510,0.123433,0.961800,0.107414,1.809
lr4e-3_rectangular,rectangular,0.5,1,2,0.107539,0.115973,0.964600,0.120273,1.867
lr4e-3_rectangular,rectangular,0.5,1,3,0.090072,0.112937,0.967500,0.109224,1.938
lr4e-3_rectangular,rectangular,0.5,2,1,0.215587,0.135251,0.959200,0.105014,1.839
lr4e-3_rectangular,rectangular,0.5,2,2,0.108100,0.121888,0.965800,0.108221,1.794
lr4e-3_rectangular,rectangular,0.5,2,3,0.088157,0.117930,0.966800,0.106197,1.879
