tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
sweep,fast_sigmoid,0.5,1,1,0.236614,0.126510,0.962100,0.100322,1.607
sweep,fast_sigmoid,0.5,1,2,0.104831,0.097542,0.969400,0.107638,1.688
sweep,fast_sigmoid,0.5,1,3,0.070876,0.084930,0.974500,0.113180,1.650
sweep,fast_sigmoid,0.5,1,4,0.053042,0.089536,0.975700,0.111386,1.687
sweep,fast_sigmoid,0.5,2,1,0.232331,0.123806,0.961900,0.102327,1.718
sweep,fast_sigmoid,0.5,2,2,0.102479,0.125054,0.962100,0.105083,1.721
sweep,fast_sigmoid,0.5,2,3,0.071928,0.090506,0.971200,0.102099,1.676
sweep,fast_sigmoid,0.5,2,4,0.053211,0.086770,0.976000,0.109227,1.743
sweep,fast_sigmoid,0.5,3,1,0.236954,0.126627,0.961000,0.097253,1.751
sweep,fast_sigmoid,0.5,3,2,0.104492,0.104049,0.969200,0.099856,1.691
sweep,fast_sigmoid,0.5,3,3,0.070802,0.100954,0.969300,0.100983,1.690
sweep,fast_sigmoid,0.5,3,4,0.051414,0.090778,0.973300,0.101873,1.643
sweep,fast_sigmoid,1,1,1,0.215034,0.108512,0.965600,0.114955,1.664
sweep,fast_sigmoid,1,1,2,0.091801,0.085673,0.972700,0.121776,1.679
sweep,fast_sigmoid,1,1,3,0.062409,0.085290,0.975200,0.130077,1.714
sweep,fast_sigmoid,1,1,4,0.045209,0.080854,0.976600,0.126241,1.656
sweep,fast_sigmoid,1,2,1,0.212568,0.110416,0.965900,0.114429,1.633
sweep,fast_sigmoid,1,2,2,0.090121,0.104721,0.968400,0.117028,1.625
sweep,fast_sigmoid,1,2,3,0.061927,0.082975,0.975900,0.112941,1.690
sweep,fast_sigmoid,1,2,4,0.044854,0.091306,0.973800,0.124645,1.758
sweep,fast_sigmoid,1,3,1,0.215343,0.107304,0.966400,0.111959,1.687
sweep,fast_sigmoid,1,3,2,0.089605,0.088447,0.972200,0.116853,1.682
sweep,fast_sigmoid,1,3,3,0.059172,0.105829,0.967400,0.120622,1.698
sweep,fast_sigmoid,1,3,4,0.045090,0.097447,0.972500,0.123613,1.736
sweep,fast_sigmoid,2,1,1,0.203125,0.111294,0.965300,0.133839,1.713
sweep,fast_sigmoid,2,1,2,0.083653,0.082533,0.974000,0.139262,1.674
sweep,fast_sigmoid,2,1,3,0.059737,0.080745,0.974800,0.135335,1.698
sweep,fast_sigmoid,2,1,4,0.044767,0.089226,0.974800,0.145296,1.726
sweep,fast_sigmoid,2,2,1,0.202250,0.101744,0.968700,0.129347,1.751
sweep,fast_sigmoid,2,2,2,0.085589,0.112205,0.967400,0.133641,1.806
sweep,fast_sigmoid,2,2,3,0.059905,0.084184,0.973500,0.129689,1.940
sweep,fast_sigmoid,2,2,4,0.041780,0.085814,0.974900,0.133986,2.136
sweep,fast_sigmoid,2,3,1,0.203787,0.106371,0.966200,0.124789,1.983
sweep,fast_sigmoid,2,3,2,0.084098,0.089184,0.971700,0.126932,2.398
sweep,fast_sigmoid,2,3,3,0.056308,0.090935,0.973600,0.131111,1.873
sweep,fast_sigmoid,2,3,4,0.044935,0.089081,0.974100,0.129390,2.058
sweep,fast_sigmoid,5,1,1,0.199186,0.097901,0.968500,0.152542,2.624
sweep,fast_sigmoid,5,1,2,0.084754,0.079940,0.974600,0.151759,1.930
sweep,fast_sigmoid,5,1,3,0.060394,0.088518,0.972700,0.152498,2.231
sweep,fast_sigmoid,5,1,4,0.048235,0.072569,0.977600,0.142588,2.148
sweep,fast_sigmoid,5,2,1,0.197451,0.101157,0.968200,0.153117,1.783
sweep,fast_sigmoid,5,2,2,0.084812,0.105444,0.968700,0.146038,1.900
sweep,fast_sigmoid,5,2,3,0.059554,0.081706,0.975800,0.149017,2.068
sweep,fast_sigmoid,5,2,4,0.045700,0.081236,0.975800,0.144844,1.952
sweep,fast_sigmoid,5,3,1,0.199793,0.099789,0.968400,0.154169,1.942
sweep,fast_sigmoid,5,3,2,0.085458,0.100580,0.967800,0.152343,1.994
sweep,fast_sigmoid,5,3,3,0.061193,0.089603,0.974000,0.151283,2.103
sweep,fast_sigmoid,5,3,4,0.046833,0.084084,0.975500,0.152437,2.302
sweep,fast_sigmoid,10,1,1,0.200334,0.102127,0.967000,0.167696,2.131
sweep,fast_sigmoid,10,1,2,0.086963,0.078872,0.975100,0.156622,1.978
sweep,fast_sigmoid,10,1,3,0.063222,0.078128,0.974800,0.152271,1.799
sweep,fast_sigmoid,10,1,4,0.051640,0.076589,0.975200,0.154135,1.923
sweep,fast_sigmoid,10,2,1,0.198646,0.102749,0.965800,0.156631,2.153
sweep,fast_sigmoid,10,2,2,0.086348,0.103051,0.968500,0.152816,2.084
sweep,fast_sigmoid,10,2,3,0.062427,0.086454,0.974400,0.159440,2.178
sweep,fast_sigmoid,10,2,4,0.050811,0.091711,0.975800,0.158792,2.256
sweep,fast_sigmoid,10,3,1,0.200324,0.096167,0.971000,0.154761,2.012
sweep,fast_sigmoid,10,3,2,0.087049,0.092951,0.972000,0.152298,2.005
sweep,fast_sigmoid,10,3,3,0.062452,0.099711,0.969900,0.151334,3.549
sweep,fast_sigmoid,10,3,4,0.049815,0.097511,0.968000,0.151358,2.876
sweep,fast_sigmoid,25,1,1,0.203517,0.105692,0.966100,0.180063,3.175
sweep,fast_sigmoid,25,1,2,0.090165,0.085343,0.974400,0.180319,2.337
sweep,fast_sigmoid,25,1,3,0.066896,0.086805,0.972200,0.180643,2.261
sweep,fast_sigmoid,25,1,4,0.057117,0.079079,0.975100,0.172143,2.598
sweep,fast_sigmoid,25,2,1,0.203611,0.115271,0.964000,0.169715,2.453
sweep,fast_sigmoid,25,2,2,0.094354,0.109973,0.966500,0.166532,2.178
sweep,fast_sigmoid,25,2,3,0.069505,0.087584,0.972900,0.160022,1.987
