tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
T1,gaussian,1,1,1,0.321535,0.166566,0.950400,0.385352,1.492
T1,gaussian,1,1,2,0.136723,0.113313,0.966100,0.390454,1.515
T1,gaussian,1,1,3,0.092816,0.096452,0.970100,0.388959,1.476
T1,gaussian,1,1,4,0.067397,0.082851,0.975600,0.390497,1.505
T1,gaussian,1,2,1,0.321461,0.162176,0.951600,0.391686,1.436
T1,gaussian,1,2,2,0.135235,0.122861,0.963400,0.386460,1.490
T1,gaussian,1,2,3,0.092154,0.099664,0.970000,0.387741,1.539
T1,gaussian,1,2,4,0.066940,0.086016,0.974000,0.387889,1.634
T2,gaussian,1,1,1,0.289799,0.145250,0.956900,0.369141,1.885
T2,gaussian,1,1,2,0.120002,0.100237,0.969800,0.370109,1.820
T2,gaussian,1,1,3,0.079778,0.085316,0.973500,0.365760,1.686
T2,gaussian,1,1,4,0.055992,0.075064,0.977200,0.364931,1.668
T2,gaussian,1,2,1,0.288950,0.141518,0.957200,0.365302,1.609
T2,gaussian,1,2,2,0.118089,0.115075,0.965500,0.356456,1.508
T2,gaussian,1,2,3,0.077933,0.086299,0.970700,0.358371,1.583
T2,gaussian,1,2,4,0.055060,0.073281,0.977700,0.356872,1.532
T5,gaussian,1,1,1,0.247971,0.121755,0.962200,0.268659,1.656
T5,gaussian,1,1,2,0.099224,0.085810,0.974000,0.273617,1.582
T5,gaussian,1,1,3,0.063265,0.080545,0.974600,0.274228,1.591
T5,gaussian,1,1,4,0.043543,0.073236,0.977200,0.273484,1.618
T5,gaussian,1,2,1,0.245607,0.115922,0.964000,0.257590,1.588
T5,gaussian,1,2,2,0.095689,0.098656,0.969800,0.261728,1.586
T5,gaussian,1,2,3,0.062998,0.071887,0.977100,0.258569,1.633
T5,gaussian,1,2,4,0.043775,0.068548,0.977200,0.262242,1.641
T10,gaussian,1,1,1,0.223414,0.111875,0.963700,0.188336,1.849
T10,gaussian,1,1,2,0.088711,0.076241,0.977300,0.192023,1.795
T10,gaussian,1,1,3,0.057637,0.077238,0.976500,0.198647,1.780
T10,gaussian,1,1,4,0.040841,0.080793,0.976000,0.201078,1.763
T10,gaussian,1,2,1,0.220033,0.108931,0.966400,0.176766,1.735
T10,gaussian,1,2,2,0.087220,0.094257,0.971200,0.181729,1.736
T10,gaussian,1,2,3,0.057958,0.073447,0.976000,0.179715,1.762
T10,gaussian,1,2,4,0.040152,0.073316,0.975600,0.189565,1.778
T20,gaussian,1,1,1,0.210187,0.112232,0.963200,0.128323,2.063
T20,gaussian,1,1,2,0.089066,0.075417,0.975800,0.136827,2.334
T20,gaussian,1,1,3,0.063038,0.079837,0.974600,0.139245,2.108
T20,gaussian,1,1,4,0.047980,0.077791,0.977400,0.141124,2.301
T20,gaussian,1,2,1,0.207055,0.104178,0.967900,0.126475,2.205
T20,gaussian,1,2,2,0.085046,0.110457,0.967600,0.134305,2.254
T20,gaussian,1,2,3,0.062240,0.085360,0.973700,0.135208,2.319
T20,gaussian,1,2,4,0.044066,0.077819,0.975700,0.136641,2.323
T30,gaussian,1,1,1,0.208688,0.117849,0.962100,0.111689,2.342
T30,gaussian,1,1,2,0.090030,0.089083,0.972600,0.116583,2.323
T30,gaussian,1,1,3,0.064893,0.088915,0.973900,0.118561,2.369
T30,gaussian,1,1,4,0.050399,0.094059,0.974600,0.119229,2.389
T30,gaussian,1,2,1,0.207547,0.109293,0.965400,0.106639,2.283
T30,gaussian,1,2,2,0.088356,0.121871,0.963200,0.115334,2.345
T30,gaussian,1,2,3,0.065983,0.084521,0.972400,0.114208,2.373
T30,gaussian,1,2,4,0.047633,0.089752,0.973400,0.120091,2.332
